课程ID,课程名称,授课教师,教学内容评分,教学态度评分,互动性评分,作业合理性评分,考试难度评分,推荐指数,选课人数,学期,综合评分
C001,计算机网络,刘教授,7.2,3.0,9.0,7.9,5.7,3.4,164,2023-2024-2,6.4
C002,软件工程,李教授,7.4,6.3,4.2,3.1,3.1,9.6,51,2023-2024-2,6.0
C003,Python程序设计,王教授,6.7,7.8,9.9,3.3,2.1,2.6,104,2024-2025-1,8.1
C004,高等数学,王教授,7.1,4.6,5.1,7.2,2.1,4.8,87,2023-2024-2,5.6
C005,线性代数,张教授,7.8,3.9,3.4,5.4,6.2,6.0,122,2023-2024-1,5.0
C006,线性代数,陈教授,8.3,9.2,4.8,9.7,7.6,5.9,132,2024-2025-1,7.4
C007,软件工程,周教授,8.1,4.9,5.5,9.3,3.9,2.0,169,2024-2025-1,6.2
C008,高等数学,周教授,9.1,4.6,2.6,8.0,1.3,6.0,36,2023-2024-2,5.4
C009,Python程序设计,刘教授,4.3,9.0,6.6,8.7,2.1,5.1,157,2023-2024-2,6.6
C010,计算机网络,刘教授,5.8,8.7,6.8,7.7,9.2,9.8,84,2023-2024-2,7.1
C011,计算机网络,李教授,9.6,6.1,7.9,3.9,5.4,3.3,135,2024-2025-1,7.9
C012,高等数学,王教授,5.8,6.4,2.2,8.4,5.1,4.8,91,2023-2024-2,4.8
C013,数据结构,赵教授,3.9,4.5,6.3,4.5,1.3,5.4,119,2023-2024-1,4.9
C014,概率论,王教授,6.7,3.5,2.4,5.3,7.6,5.1,127,2023-2024-2,4.2
C015,操作系统,周教授,3.8,7.0,7.6,8.7,5.8,7.3,106,2023-2024-2,6.1
C016,数据结构,李教授,4.4,3.7,2.4,6.8,2.8,3.7,148,2024-2025-1,3.5
C017,计算机网络,王教授,10.0,6.1,9.3,9.0,2.0,3.8,65,2023-2024-2,8.5
C018,概率论,张教授,6.8,9.6,7.6,4.5,4.5,7.8,118,2024-2025-1,8.0
C019,操作系统,周教授,5.0,9.7,6.1,7.3,8.5,6.0,174,2023-2024-2,6.9
C020,操作系统,王教授,10.0,4.7,5.5,3.6,8.8,5.3,159,2023-2024-1,6.7
C021,操作系统,王教授,9.8,7.4,3.0,7.5,6.4,3.4,170,2023-2024-1,6.7
C022,线性代数,周教授,6.1,6.3,4.3,8.3,7.5,3.5,122,2024-2025-1,5.6
C023,软件工程,赵教授,4.8,9.1,9.0,7.1,2.0,2.1,143,2024-2025-1,7.6
C024,操作系统,周教授,8.9,4.9,9.2,4.9,6.3,2.7,57,2023-2024-2,7.7
C025,Python程序设计,张教授,8.0,3.0,2.0,3.2,7.0,6.5,172,2023-2024-2,4.3
C026,高等数学,张教授,7.8,4.1,6.8,3.8,2.8,9.1,62,2023-2024-1,6.2
C027,计算机网络,王教授,9.3,5.4,7.8,7.4,8.9,4.3,49,2023-2024-2,7.5
C028,Python程序设计,刘教授,7.8,5.2,6.9,9.5,2.8,4.6,169,2023-2024-1,6.6
C029,高等数学,赵教授,5.0,8.5,2.7,4.4,3.8,2.9,130,2024-2025-1,5.4
C030,数据结构,王教授,7.9,7.8,3.7,8.1,6.6,5.1,52,2023-2024-2,6.5
C031,软件工程,周教授,5.1,5.1,4.0,9.1,6.7,2.3,141,2024-2025-1,4.7
C032,数据结构,王教授,8.3,6.2,8.7,6.6,7.3,9.3,43,2023-2024-2,7.7
C033,高等数学,李教授,7.3,3.7,5.7,7.7,2.0,7.4,120,2023-2024-1,5.6
C034,Python程序设计,李教授,3.5,9.3,5.9,8.7,8.6,9.9,106,2024-2025-1,6.2
C035,高等数学,刘教授,6.6,9.5,9.5,4.8,5.8,9.1,114,2024-2025-1,8.5
C036,操作系统,赵教授,5.4,9.9,7.1,5.1,5.2,5.8,138,2023-2024-2,7.5
C037,线性代数,陈教授,5.3,9.1,9.2,3.0,9.8,6.2,60,2024-2025-1,7.9
C038,计算机网络,吴教授,7.2,4.2,5.7,9.7,7.7,3.5,151,2023-2024-1,5.7
C039,数据结构,李教授,5.3,3.3,3.2,9.4,2.1,5.7,136,2024-2025-1,3.9
C040,计算机网络,陈教授,8.4,7.1,9.4,8.4,7.8,9.2,83,2024-2025-1,8.3
C041,线性代数,张教授,3.5,9.4,5.7,3.6,1.9,2.4,162,2023-2024-2,6.2
C042,操作系统,李教授,7.6,4.2,3.5,6.1,1.2,8.9,170,2024-2025-1,5.1
C043,操作系统,李教授,8.7,3.0,4.4,3.7,4.6,4.7,72,2023-2024-2,5.4
C044,数据结构,赵教授,7.7,8.6,2.4,3.1,9.9,9.2,118,2023-2024-2,6.2
C045,数据结构,刘教授,6.5,3.5,5.7,7.3,2.6,9.5,144,2024-2025-1,5.2
C046,操作系统,陈教授,9.7,5.9,8.8,9.7,7.1,7.4,128,2023-2024-1,8.1
C047,概率论,周教授,5.1,7.8,9.5,9.3,2.6,7.3,76,2023-2024-2,7.5
C048,计算机网络,李教授,3.1,4.7,9.5,7.9,7.5,5.6,100,2024-2025-1,5.8
C049,软件工程,李教授,6.0,3.6,3.0,3.7,5.5,8.7,96,2023-2024-2,4.2
C050,线性代数,赵教授,3.2,8.4,5.1,4.9,7.1,9.7,91,2023-2024-1,5.6
C051,计算机网络,赵教授,9.7,7.4,2.2,5.2,2.8,8.2,138,2023-2024-1,6.4
C052,线性代数,刘教授,4.5,9.9,8.8,8.3,7.7,7.0,66,2023-2024-2,7.7
C053,概率论,陈教授,8.5,5.4,4.9,8.6,10.0,6.9,148,2023-2024-1,6.3
C054,软件工程,张教授,8.4,3.4,7.0,5.7,7.0,8.8,115,2024-2025-1,6.3
C055,Python程序设计,周教授,4.5,8.1,7.7,5.9,5.4,6.3,155,2024-2025-1,6.8
C056,线性代数,刘教授,7.3,6.7,5.4,3.3,9.3,8.4,165,2023-2024-2,6.5
C057,计算机网络,吴教授,3.3,4.5,4.5,5.0,1.1,6.1,81,2023-2024-1,4.1
C058,高等数学,张教授,6.4,8.5,9.7,6.2,7.6,2.5,120,2024-2025-1,8.2
C059,软件工程,王教授,3.1,4.4,9.7,3.8,9.0,5.1,62,2024-2025-1,5.7
C060,操作系统,李教授,9.4,4.8,4.3,6.2,1.6,5.6,110,2024-2025-1,6.2
C061,操作系统,陈教授,9.8,3.6,5.8,9.0,5.1,3.1,71,2023-2024-2,6.4
C062,概率论,刘教授,4.6,5.8,9.8,7.1,2.8,2.8,141,2023-2024-2,6.7
C063,线性代数,李教授,4.5,5.9,2.0,3.6,6.1,6.3,155,2024-2025-1,4.1
C064,Python程序设计,陈教授,8.3,6.6,5.3,4.3,6.8,2.7,165,2024-2025-1,6.7
C065,线性代数,陈教授,4.8,8.0,2.8,6.3,3.7,4.4,135,2023-2024-1,5.2
C066,操作系统,陈教授,9.3,9.3,6.1,5.5,5.1,8.0,154,2023-2024-1,8.2
C067,数据结构,李教授,7.0,4.0,2.2,5.5,3.5,9.7,142,2023-2024-1,4.4
C068,高等数学,刘教授,5.5,3.4,5.3,6.7,4.3,7.7,93,2023-2024-2,4.7
C069,软件工程,周教授,8.8,3.1,3.8,7.1,2.4,9.9,152,2024-2025-1,5.2
C070,概率论,赵教授,6.5,4.0,6.3,8.6,9.0,7.6,143,2023-2024-2,5.6
C071,数据结构,李教授,9.4,7.6,10.0,5.4,1.1,4.4,49,2024-2025-1,9.0
C072,计算机网络,吴教授,9.5,8.1,8.4,8.6,8.9,7.4,45,2023-2024-1,8.7
C073,Python程序设计,陈教授,4.2,8.5,8.8,5.4,6.1,7.6,174,2023-2024-1,7.2
C074,数据结构,刘教授,3.0,4.7,7.1,3.4,4.0,5.0,48,2023-2024-1,4.9
C075,计算机网络,周教授,9.9,5.1,2.3,6.9,7.5,2.1,149,2023-2024-1,5.8
C076,数据结构,王教授,9.3,6.4,3.7,7.1,5.6,7.6,165,2024-2025-1,6.5
C077,Python程序设计,吴教授,3.4,3.4,9.4,9.5,5.5,2.2,67,2023-2024-1,5.4
C078,软件工程,张教授,8.8,7.3,4.9,8.1,2.0,7.0,122,2024-2025-1,7.0
C079,数据结构,吴教授,6.2,9.9,2.8,9.4,4.5,3.3,134,2024-2025-1,6.3
C080,概率论,陈教授,4.8,5.5,7.6,9.4,3.2,6.5,129,2023-2024-2,6.0
C081,操作系统,王教授,9.2,8.3,4.4,7.2,1.1,6.0,119,2023-2024-1,7.3
C082,线性代数,赵教授,4.4,6.5,4.2,6.7,4.2,2.1,73,2023-2024-1,5.0
C083,数据结构,周教授,9.6,3.9,10.0,6.9,1.8,4.9,105,2023-2024-2,7.8
C084,概率论,周教授,4.4,7.1,8.9,9.8,3.3,6.8,174,2024-2025-1,6.8
C085,线性代数,陈教授,7.3,5.1,5.3,8.4,1.8,8.8,108,2023-2024-1,5.9
C086,软件工程,吴教授,4.6,3.2,9.8,3.7,1.9,9.1,102,2024-2025-1,5.9
C087,计算机网络,吴教授,6.8,7.4,7.2,8.4,2.8,5.9,169,2023-2024-2,7.1
C088,线性代数,周教授,7.8,9.0,7.9,4.2,10.0,7.8,125,2024-2025-1,8.2
C089,计算机网络,王教授,4.3,5.4,2.3,6.1,1.0,4.5,118,2023-2024-1,4.0
C090,数据结构,陈教授,6.6,5.7,3.0,4.5,6.7,4.7,132,2024-2025-1,5.1
C091,概率论,李教授,6.3,9.2,7.1,7.8,2.3,3.6,175,2024-2025-1,7.5
C092,操作系统,刘教授,3.5,8.7,9.2,9.1,9.3,6.5,35,2023-2024-1,7.1
C093,数据结构,王教授,8.7,8.0,7.0,5.0,1.8,4.5,151,2023-2024-1,7.9
C094,计算机网络,刘教授,5.3,4.7,3.1,3.6,9.6,2.7,145,2024-2025-1,4.4
C095,Python程序设计,李教授,7.0,9.4,2.9,5.1,6.5,7.5,91,2024-2025-1,6.4
C096,线性代数,李教授,6.6,4.1,8.8,7.7,1.0,7.7,173,2023-2024-2,6.5
C097,数据结构,刘教授,6.6,7.4,3.1,5.3,9.0,4.9,165,2023-2024-1,5.7
C098,计算机网络,王教授,3.8,3.2,6.2,4.9,5.7,2.6,118,2024-2025-1,4.4
C099,软件工程,刘教授,6.0,7.5,2.3,4.3,3.4,5.4,125,2023-2024-1,5.3
C100,线性代数,刘教授,6.2,4.9,2.6,6.5,7.9,5.5,155,2023-2024-2,4.6
C101,软件工程,张教授,8.1,6.1,7.4,4.9,9.3,7.3,119,2024-2025-1,7.2
C102,计算机网络,王教授,8.9,5.4,7.5,8.1,5.4,4.5,115,2024-2025-1,7.3
C103,概率论,吴教授,6.8,4.2,4.7,3.5,3.8,7.5,167,2024-2025-1,5.2
C104,高等数学,吴教授,3.6,7.4,3.7,7.6,8.1,9.0,150,2023-2024-1,4.9
C105,软件工程,张教授,4.7,9.2,8.5,4.7,7.1,3.9,105,2023-2024-2,7.5
C106,数据结构,陈教授,4.2,9.7,3.7,6.4,9.0,9.8,121,2023-2024-1,5.9
C107,操作系统,周教授,3.9,4.3,6.3,5.0,7.2,5.1,99,2024-2025-1,4.8
C108,数据结构,吴教授,5.6,8.0,9.7,8.1,3.2,4.1,177,2023-2024-2,7.8
C109,线性代数,刘教授,4.6,7.7,3.2,9.6,9.4,5.4,162,2024-2025-1,5.2
C110,概率论,陈教授,4.5,5.4,9.5,9.4,1.9,2.8,52,2024-2025-1,6.5
C111,计算机网络,吴教授,3.4,3.1,3.5,7.1,3.4,3.0,166,2023-2024-1,3.3
C112,Python程序设计,王教授,3.1,7.8,6.5,6.2,5.7,5.3,87,2024-2025-1,5.8
C113,操作系统,刘教授,3.7,9.6,5.0,8.7,6.1,8.1,75,2023-2024-2,6.1
C114,概率论,周教授,4.2,7.4,9.7,7.8,1.1,9.2,51,2024-2025-1,7.1
C115,软件工程,陈教授,6.0,6.0,4.2,4.3,8.0,7.3,37,2024-2025-1,5.4
C116,软件工程,吴教授,6.6,6.7,5.2,8.7,4.3,2.8,152,2023-2024-1,6.2
C117,数据结构,吴教授,4.0,4.4,9.9,6.0,4.7,7.4,49,2023-2024-2,6.1
C118,Python程序设计,赵教授,6.0,8.3,6.3,4.3,8.3,7.1,107,2023-2024-1,6.9
C119,概率论,吴教授,5.4,8.2,6.0,5.0,4.4,8.4,68,2024-2025-1,6.5
C120,高等数学,李教授,4.3,4.0,4.1,4.9,1.4,8.6,66,2023-2024-1,4.1
